,ci_name,location_full
174,CLU-GEO-101,EUROPE/FRANCE/LESTREM/SALLE INFORMATIQUE
175,CLUGEO-101-DMZ,EUROPE/FRANCE/LESTREM
176,CLU-GEO-103A,EUROPE/FRANCE/VECQUEMONT
177,CLU-GEO-109A,EUROPE/FRANCE/BEINHEIM
178,CLU-GEO-118A,EUROPE/FRANCE/VIC SUR AISNE
179,CLU-GEO-201A,EUROPE/ITALY/CASSANO SPINOLA
180,CLU-GEO-202A,EUROPE/SPAIN/BENIFAYO ESPANA
181,CLU-GEO-208,AMERICA/USA/GURNEE/GURNEE IL 60031
182,CLU-GEO-210A,AMERICA/USA/KEOKUK
183,CLU-GEO-260A,ASIA/CHINA/LIANYUNGANG ST
184,CLU-GEO-294,AMERICA/CANADA/PORTAGE LA PRAIRIE
185,CLU-LOC-200,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1
186,CLU-LOC-235,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2
187,CLU-LOC-273A,INDIA/INDIA/MUMBAI/SERVER ROOM i71
188,CLU-LOC-DEV-200,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1
189,CLU-LOC-DEV-235,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2
190,CLU-OMP-101,EUROPE/FRANCE/LESTREM
191,CLU-ORA-101,EUROPE/FRANCE/LESTREM
192,CLU-VMW-101,EUROPE/FRANCE/LESTREM
193,CLU-VMW-LOC-200,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1
194,CLU-VMW-LOC-235,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2
195,"corp.int, roquette.corp.int\AD",EUROPE/FRANCE/LESTREM
196,"corp.priv, partner.corp.priv, roquette.corp.priv\A",EUROPE/FRANCE/LESTREM
197,EXPL,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/I12
198,EXPLSEC1,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/I12
199,EXPLTP,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/I12
200,F5VE101A,EUROPE/FRANCE/LESTREM/SALLE INFORMATIQUE/CLU-GEO-101-DMZ
201,F5VE101K,EUROPE/FRANCE/LESTREM/SALLE INFORMATIQUE/CLU-GEO-101-DMZ
202,F5VI101A,EUROPE/FRANCE/LESTREM/SALLE INFORMATIQUE/CLU-GEO-101
203,F5VI101K,EUROPE/FRANCE/LESTREM/SALLE INFORMATIQUE/CLU-GEO-101
204,FAZ235A,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/Y3
205,FR_VIC_FRANCE,EUROPE/FRANCE/VIC SUR AISNE
206,FR-LaMadeleine-Brazil-REP_06,EUROPE/FRANCE/LA MADELEINE/Etage 6
207,FR-LaMadeleine-Canada-DOU_06,EUROPE/FRANCE/LA MADELEINE/DOUMER/R+2
208,FR-LaMadeleine-DOU_06A,EUROPE/FRANCE/LA MADELEINE/DOUMER/R+6
209,FR-LaMadeleine-DOU_06C,EUROPE/FRANCE/LA MADELEINE/DOUMER/R+6
210,FR-LaMadeleine-Finland-DOU_02,EUROPE/FRANCE/LA MADELEINE/DOUMER/R+2
211,FR-LaMadeleine-Germany-REP_02,EUROPE/FRANCE/LA MADELEINE/REPUBLIQUE/R+2
212,FR-LaMadeleine-India-DOU_05,EUROPE/FRANCE/LA MADELEINE/DOUMER/R+1
213,FR-LaMadeleine-Lycadex-DOU_02,EUROPE/FRANCE/LA MADELEINE/DOUMER/R+2
214,FR-LaMadeleine-Singapore-DOU_04,EUROPE/FRANCE/LA MADELEINE/DOUMER/R+4
215,FR-LaMadeleine-USA-DOU_03,EUROPE/FRANCE/LA MADELEINE/DOUMER/R+3
216,FR-LESTREM-A2A,EUROPE/FRANCE/LESTREM/ALPHA 2/N 0/SALLE A2A
217,FR-LESTREM-A2D,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE A2D
218,FR-LESTREM-A5B,EUROPE/FRANCE/LESTREM
219,FR-LESTREM-cafetaria,EUROPE/FRANCE/LESTREM/RESTAURANT/N 0
220,FR-Lestrem-ControlTower,EUROPE/FRANCE/LESTREM/BUNGALOW DDI/N 0
221,FR-LESTREM-MA,EUROPE/FRANCE/LESTREM/MAINTENANCE (ATELIER CENTRAL)/N 1/SALLE MA
222,FR-LESTREM-MC,EUROPE/FRANCE/LESTREM/MAGASIN MATÉRIEL
223,Fr-Paris-Auditorium,EUROPE/FRANCE/PARIS ST DENIS
224,FWE101,EUROPE/FRANCE/LESTREM/SALLE INFORMATIQUE
225,FWE102,EUROPE/FRANCE/LESTREM/ALPHA 2/N 0/OCC
227,FWE212,AMERICA/USA/KEOKUK/RASI
228,FWE219,AMERICA/USA/KEOKUK
230,FWE235C,EUROPE/FRANCE/LESTREM/SALLE INFORMATIQUE/CLU-GEO-101
231,FWE353A,AMERICA/USA/KEOKUK/KEOKUK IA 52641
232,FWE353B,AMERICA/USA/KEOKUK/KEOKUK IA 52641
233,FWE634,AMERICA/USA/LAHARPE IL 61450
234,FWE635,AMERICA/USA/STOCKPORT IA 52651
235,FWE659,EUROPE/FRANCE/LORGIES
236,FWE65G,AMERICA/USA/BLANDINSVILLE IL 61420
237,FWE929,AMERICA/USA/GURNEE/GURNEE IL 60031/ARK LOGISTICS
238,FWE951,AMERICA/USA/KEOKUK/FT MADISON IA 52627
239,FWE95J,AMERICA/USA/[[ALSIP IL 60803]]
240,FWE999,INDIA/INDIA/CREST
241,FWEAEU,EUROPE/AZURE
244,FWI202,EUROPE/SPAIN/BENIFAYO ESPANA/OFICINAS MANTENIMENTO
246,FWI361,EUROPE/LITUANIE/PANEVEZYS
247,FWI101,EUROPE/FRANCE/LESTREM
248,FWI102,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/V6
249,FWI103,EUROPE/FRANCE/VECQUEMONT
250,FWI106,EUROPE/FRANCE/LILLE
251,FWI109,EUROPE/FRANCE/BEINHEIM
253,FWI118,EUROPE/FRANCE/VIC SUR AISNE
254,FWI130,EUROPE/FRANCE/LA MADELEINE
256,FWI200J,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/P3
